timestamp,open,high,low,close,adj_close,volume
2024-07-15,256.02,256.39,252.12,252.86,251.3817,4404300
2024-07-16,253.78,256.78,252.67,256.03,254.5332,4780400
2024-07-17,254.0,255.57,249.61,251.22,249.7513,5625300
2024-07-18,252.14,252.45,245.72,247.35,245.9039,6351600
2024-07-19,248.65,248.99,245.17,247.63,246.1823,4468900
2024-07-22,248.75,255.58,248.0,254.08,252.5946,5647600
2024-07-23,256.59,257.33,253.75,256.06,254.563,3905500
2024-07-24,253.63,255.91,248.9,249.78,248.3197,5204100
2024-07-25,254.74,264.08,251.72,256.52,255.0203,7155800
2024-07-26,258.17,264.49,257.07,262.71,261.1741,6127300
2024-07-29,262.71,266.08,258.52,258.59,257.0782,5101400
2024-07-30,259.62,260.75,255.12,257.93,256.422,3944300
2024-07-31,256.21,261.83,255.35,258.8,257.287,4647700
2024-08-01,259.9,263.36,249.74,253.06,251.5805,5527400
2024-08-02,247.79,248.0,241.12,243.97,242.5437,6504500
2024-08-05,232.32,241.82,232.21,239.01,237.6127,6899300
2024-08-06,241.09,243.85,238.03,238.42,237.0261,5673900
2024-08-07,242.61,246.53,239.66,240.04,238.6366,4035500
2024-08-08,243.24,249.43,243.08,249.12,247.6636,4474300
2024-08-09,248.7,252.95,248.45,252.53,251.0536,2975300
2024-08-12,252.6,254.09,249.02,251.31,249.8407,3679700
2024-08-13,253.0,255.78,253.0,254.6,253.1115,4031600
2024-08-14,255.39,257.71,253.86,255.32,253.8273,4145200
2024-08-15,257.9,262.89,256.24,262.79,261.2536,5167900
2024-08-16,261.75,263.6,259.68,262.91,261.3729,3494900
2024-08-19,263.1,265.39,261.63,265.38,263.8285,4501300
2024-08-20,264.95,265.5,261.03,261.84,260.3092,5731300
2024-08-21,261.1,262.14,259.18,261.09,259.5636,4648200
2024-08-22,261.5,263.26,257.27,258.59,257.0782,5111400
2024-08-23,261.99,265.6,260.7,264.0,262.4566,4711300
2024-08-26,263.94,267.3,263.24,265.28,263.7291,3818300
2024-08-27,259.65,264.46,259.4,264.2,262.6554,5276400
2024-08-28,261.83,265.18,257.36,258.9,257.3864,10981900
2024-08-29,271.01,271.95,256.28,257.01,255.5074,14301700
2024-08-30,257.44,259.13,251.0,252.9,251.4215,10507700
2024-09-03,252.62,253.69,246.64,248.06,246.6098,6190400
2024-09-04,246.47,249.48,245.16,247.68,246.232,4706500
2024-09-05,245.98,248.5,245.0,246.12,244.6811,4083600
2024-09-06,247.74,250.0,241.44,243.97,242.5437,6259400
2024-09-09,246.5,249.36,244.77,245.76,244.3232,4588800
2024-09-10,247.13,247.34,243.31,246.16,244.7209,3544800
2024-09-11,244.81,250.02,242.01,249.57,248.1109,4822200
2024-09-12,251.39,254.14,249.57,253.37,251.8887,5221400
2024-09-13,252.54,256.83,252.45,254.57,253.0817,4998900
2024-09-16,254.57,257.81,254.57,256.91,255.408,5367000
2024-09-17,258.72,259.37,254.76,255.19,253.6981,5423400
2024-09-18,256.0,256.12,250.96,252.43,251.3482,4436700
2024-09-19,260.72,269.54,258.05,265.99,264.8501,11022800
2024-09-20,266.01,270.32,261.32,266.8,265.6566,11463200
2024-09-23,267.25,268.06,262.24,264.21,263.0777,6034000
2024-09-24,269.83,272.46,266.29,270.44,269.281,7154500
2024-09-25,270.45,277.05,269.38,274.09,272.9154,7920000
2024-09-26,276.13,278.64,272.71,275.76,274.5782,5253400
2024-09-27,276.26,277.84,275.06,276.64,275.4544,5220100
2024-09-30,273.95,275.74,269.14,273.71,272.537,5059700
2024-10-01,274.14,274.7,269.69,270.87,269.7092,4369900
2024-10-02,273.72,282.0,270.85,279.48,278.2823,8512300
2024-10-03,278.99,281.12,277.73,280.91,279.7061,3868400
2024-10-04,283.86,287.89,281.47,287.75,286.5168,6129900
2024-10-07,286.58,288.17,283.38,284.57,283.3504,4794700
2024-10-08,286.0,292.63,284.1,291.57,290.3204,5211200
2024-10-09,290.82,291.57,287.08,287.92,286.6861,4851000
2024-10-10,287.92,290.23,284.62,290.17,288.9264,3965500
2024-10-11,289.21,290.24,286.3,288.1,286.8653,3597000
2024-10-14,289.92,292.45,288.25,291.64,290.3901,3642500
2024-10-15,293.46,293.58,288.0,288.35,287.1142,3850800
2024-10-16,287.55,290.92,284.23,290.86,289.6135,3497000
2024-10-17,291.96,293.34,290.1,291.11,289.8624,2830000
2024-10-18,292.04,294.71,290.15,292.94,291.6846,3087900
2024-10-21,289.0,292.92,288.04,291.29,290.0416,2712600
2024-10-22,289.75,291.94,287.65,288.33,287.0943,3100100
