timestamp,open,high,low,close,adj_close,volume
2024-07-15,64.68,65.55,63.88,65.14,63.0084,16656600
2024-07-16,65.0,67.52,64.7,67.27,65.0687,21170200
2024-07-17,66.84,67.81,66.62,67.61,65.3976,17215300
2024-07-18,67.55,67.75,64.84,64.89,62.7666,15796200
2024-07-19,64.93,65.98,64.55,65.14,63.0084,8583100
2024-07-22,65.14,65.65,64.15,64.5,62.3894,9925100
2024-07-23,64.51,65.04,64.28,64.66,62.5441,6961200
2024-07-24,64.4,64.67,63.56,63.66,61.5769,11591100
2024-07-25,63.81,65.65,63.34,64.37,62.2636,12819700
2024-07-26,64.55,65.65,64.44,65.18,63.0471,9661300
2024-07-29,65.3,65.34,64.14,64.3,62.1959,7901900
2024-07-30,65.01,66.23,65.01,65.87,63.7145,13554300
2024-07-31,65.91,66.03,64.83,64.88,62.7569,15046500
2024-08-01,65.08,65.22,61.95,63.28,61.2093,18052700
2024-08-02,59.67,60.6,58.4,58.76,56.8372,30289300
2024-08-05,54.08,56.9,53.51,56.21,54.8938,27977300
2024-08-06,56.39,57.66,56.09,56.56,55.2356,16643100
2024-08-07,58.17,58.45,55.87,56.11,54.7961,19221200
2024-08-08,56.85,58.36,56.81,58.0,56.6419,17933300
2024-08-09,58.03,58.46,57.45,57.84,56.4856,11421000
2024-08-12,58.3,58.68,57.73,57.84,56.4856,15123500
2024-08-13,58.23,58.29,57.77,58.15,56.7884,7478500
2024-08-14,58.37,59.53,58.28,59.28,57.8919,12419500
2024-08-15,60.34,61.01,60.1,60.52,59.1029,14159000
2024-08-16,60.33,61.52,60.33,61.4,59.9623,9939700
2024-08-19,61.5,62.05,61.35,62.03,60.5775,8882500
2024-08-20,61.59,61.7,61.09,61.31,59.8744,8661300
2024-08-21,61.4,61.45,59.88,60.53,59.1126,14414900
2024-08-22,60.75,60.75,60.11,60.42,59.0052,7848500
2024-08-23,60.87,62.46,60.74,62.14,60.6849,13299700
2024-08-26,62.36,62.6,61.57,61.79,60.3431,9384200
2024-08-27,61.91,62.18,61.46,61.68,60.2357,7294800
2024-08-28,61.35,61.99,61.15,61.58,60.1381,7692900
2024-08-29,62.01,62.22,61.17,61.88,60.431,8368000
2024-08-30,61.95,62.7,61.66,62.64,61.1732,10806500
2024-09-03,62.04,62.39,60.97,61.46,60.0209,11055200
2024-09-04,61.57,62.07,60.41,60.96,59.5326,11436800
2024-09-05,61.61,61.79,60.34,60.63,59.2103,10243900
2024-09-06,60.7,61.08,58.8,59.09,57.7064,14094000
2024-09-09,59.91,60.67,58.17,59.54,58.1458,19811700
2024-09-10,59.89,59.89,56.69,57.95,56.5931,22482300
2024-09-11,57.59,57.59,56.18,57.3,55.9583,16569400
2024-09-12,57.37,57.86,56.83,57.33,55.9876,12944600
2024-09-13,57.71,58.28,57.43,57.67,56.3196,10379400
2024-09-16,57.93,58.79,57.93,58.39,57.0228,9912700
2024-09-17,58.86,59.41,58.76,59.29,57.9017,10630400
2024-09-18,59.75,60.88,59.29,59.9,58.4974,13638700
2024-09-19,60.92,63.17,60.6,63.02,61.5443,21860600
2024-09-20,62.52,62.65,61.68,62.14,60.6849,18331800
2024-09-23,62.22,62.87,62.17,62.58,61.1146,11508200
2024-09-24,62.68,62.9,61.12,61.37,59.933,12046200
2024-09-25,61.12,61.29,60.11,60.38,58.9662,12763800
2024-09-26,61.05,62.0,60.86,61.71,60.265,12844500
2024-09-27,62.01,62.61,61.79,61.87,60.4213,8144600
2024-09-30,61.68,62.64,61.24,62.6,61.1342,11316400
2024-10-01,62.22,62.35,61.01,61.81,60.3627,13550100
2024-10-02,61.7,62.53,61.31,62.03,60.5775,7380800
2024-10-03,61.5,61.66,60.93,61.31,59.8744,7939800
2024-10-04,62.47,62.93,61.81,62.64,61.1732,10097900
2024-10-07,62.49,63.03,62.07,62.6,61.1342,6954300
2024-10-08,62.9,63.36,62.49,63.24,61.7592,8245700
2024-10-09,63.17,64.25,63.04,64.12,62.6186,8636400
2024-10-10,64.0,64.11,63.11,63.48,61.9936,8708600
2024-10-11,64.12,66.1,64.1,65.74,64.2006,15512400
2024-10-14,65.81,66.43,65.65,66.01,64.4643,14682900
2024-10-15,66.75,67.16,62.53,62.64,61.1732,35348100
2024-10-16,63.44,64.44,63.4,64.25,62.7455,20208800
2024-10-17,64.73,65.17,63.77,63.97,62.4721,13439600
2024-10-18,64.12,64.12,62.73,62.85,61.3783,13841200
2024-10-21,62.79,62.91,61.73,61.83,60.3822,12188500
2024-10-22,61.59,63.69,61.3,63.56,62.0717,14347300
2024-10-23,63.18,63.63,62.62,63.1,61.6225,8720500
2024-10-24,63.01,63.3,62.39,63.0,61.5248,11420300
2024-10-25,63.65,63.74,61.69,61.76,60.3138,9697800
2024-10-28,62.35,64.35,62.22,64.16,62.6576,14637700
2024-10-29,64.07,64.93,63.83,64.69,63.1752,13134100
2024-10-30,64.2,65.23,64.14,64.5,62.9897,11717600
