timestamp,open,high,low,close,adj_close,volume
2024-07-15,160.6,160.75,158.6,159.56,158.538,5383300
2024-07-16,159.88,163.87,159.65,162.85,161.8069,6500700
2024-07-17,161.65,161.95,156.51,156.66,155.6565,6041200
2024-07-18,157.37,160.44,156.42,158.79,157.7729,5274800
2024-07-19,159.66,160.44,157.62,159.13,158.1107,5459800
2024-07-22,159.97,162.94,159.77,162.76,161.7175,6350500
2024-07-23,166.0,177.2,164.62,172.0,170.8983,16428000
2024-07-24,171.5,172.87,162.05,162.3,161.2604,7335200
2024-07-25,163.3,168.2,161.92,164.67,163.6152,8791500
2024-07-26,167.25,172.62,166.11,169.81,168.7223,7297700
2024-07-29,171.25,172.73,168.4,169.87,168.7819,4886600
2024-07-30,170.48,174.73,167.27,167.48,166.4072,5329500
2024-07-31,170.87,171.75,167.96,170.2,169.1098,5568800
2024-08-01,170.75,174.7,168.22,169.75,168.6627,6112900
2024-08-02,165.57,167.43,158.36,160.28,159.2534,8210700
2024-08-05,152.49,159.9,150.2,158.36,157.3457,7064800
2024-08-06,159.93,165.45,159.76,162.27,161.2306,5056700
2024-08-07,164.42,166.27,161.57,162.13,161.0915,4307500
2024-08-08,164.48,166.33,163.56,165.61,164.5492,3842700
2024-08-09,165.45,167.88,164.57,167.13,166.0595,2770100
2024-08-12,167.63,168.78,164.62,166.87,165.8011,3173700
2024-08-13,167.76,168.63,166.25,167.96,166.8842,2942400
2024-08-14,168.5,169.18,165.62,167.95,166.8742,4456000
2024-08-15,168.75,170.75,168.22,169.94,168.8515,4162500
2024-08-16,170.05,170.33,168.86,169.42,168.3348,3305600
2024-08-19,169.61,171.0,168.02,170.93,169.8351,4506000
2024-08-20,170.91,170.91,169.19,169.99,168.9012,2573900
2024-08-21,170.1,172.19,169.85,171.2,170.1034,4102900
2024-08-22,171.74,171.98,168.77,169.68,168.5931,2996600
2024-08-23,170.0,171.38,168.85,171.22,170.1233,4058000
2024-08-26,170.54,171.93,169.58,171.22,170.1233,3707300
2024-08-27,170.7,171.5,169.6,170.99,169.8948,3206000
2024-08-28,171.2,173.17,170.29,171.87,170.7691,4578700
2024-08-29,172.62,175.97,172.49,173.58,172.4682,4262500
2024-08-30,173.96,174.82,171.77,174.62,173.5015,5295600
2024-09-03,174.19,174.75,163.6,164.21,163.1582,6099600
2024-09-04,163.5,166.62,163.4,166.36,165.2944,4112400
2024-09-05,164.78,166.0,162.51,163.85,162.8005,3144200
2024-09-06,164.51,166.04,160.59,161.23,160.1973,3954900
2024-09-09,163.49,166.38,162.91,165.35,164.2909,3716000
2024-09-10,167.45,167.73,164.25,166.98,165.9104,3473200
2024-09-11,166.24,166.73,162.23,166.35,165.2845,4258000
2024-09-12,166.51,170.97,166.23,169.7,168.613,5150100
2024-09-13,169.41,179.32,169.21,178.28,177.1381,7360800
2024-09-16,178.72,181.52,176.26,181.44,180.2778,6844600
2024-09-17,181.51,182.43,178.99,180.33,179.1749,5936900
2024-09-18,181.2,185.77,180.43,183.55,182.3743,5686500
2024-09-19,187.65,187.99,184.28,186.16,184.9676,5021500
2024-09-20,185.0,187.84,184.32,187.43,186.2295,9895700
2024-09-23,187.81,189.78,187.4,188.67,187.4615,3972500
2024-09-24,188.67,189.8,187.0,189.66,188.4452,3648900
2024-09-25,189.83,190.88,188.2,189.33,188.1173,3214800
