timestamp,open,high,low,close,adj_close,volume
2024-07-15,70.4,71.25,70.21,70.81,68.5977,7569300
2024-07-16,70.33,72.05,70.33,71.64,69.4017,5129700
2024-07-17,72.01,73.98,72.01,73.3,71.0099,7220100
2024-07-18,72.6,74.92,72.5,73.51,71.2133,8120100
2024-07-19,73.51,73.74,71.96,72.56,70.293,5571800
2024-07-22,72.89,73.32,72.02,72.41,70.1477,6420800
2024-07-23,71.95,72.29,70.78,71.17,68.9464,4502400
2024-07-24,71.66,73.6,71.42,73.5,71.2036,6600000
2024-07-25,74.75,77.34,74.38,76.51,74.1196,11733400
2024-07-26,76.03,78.29,75.74,77.01,74.604,7453600
2024-07-29,77.12,77.98,76.81,77.73,75.3015,4571100
2024-07-30,77.42,78.45,76.62,78.05,75.6115,6120800
2024-07-31,77.89,77.97,75.87,76.06,73.6836,7052000
2024-08-01,76.11,77.21,75.81,76.49,74.1002,5662500
2024-08-02,77.79,78.21,75.54,76.77,74.3714,6458100
2024-08-05,76.88,77.18,74.29,74.83,72.4921,7349100
2024-08-06,74.5,75.51,74.15,74.19,71.8721,5311100
2024-08-07,74.51,75.32,73.95,74.0,71.688,4214700
2024-08-08,74.05,75.75,73.77,75.59,73.2283,7786300
2024-08-09,74.94,76.25,72.81,73.66,71.3586,9545100
2024-08-12,73.34,73.49,72.43,72.99,70.7095,5606900
2024-08-13,72.95,74.25,72.67,73.98,71.6686,4356900
2024-08-14,73.51,74.35,72.99,74.14,71.8236,4747800
2024-08-15,74.38,75.01,73.75,74.34,72.0174,5196700
2024-08-16,73.94,74.24,72.89,73.78,71.4749,5148000
2024-08-19,73.34,74.52,73.27,74.45,72.1239,3727900
2024-08-20,74.54,74.9,74.34,74.75,72.4146,3668000
2024-08-21,74.85,75.38,74.8,75.13,72.7827,3659700
2024-08-22,75.57,76.26,75.35,75.9,73.5286,5930800
2024-08-23,76.09,77.12,75.91,76.72,74.323,6847100
2024-08-26,76.8,77.43,76.42,76.96,74.5555,2926800
2024-08-27,77.21,77.46,76.69,77.0,74.5943,3902000
2024-08-28,77.46,79.45,77.23,78.56,76.1055,6214100
2024-08-29,78.93,79.65,78.25,79.45,76.9677,5544800
2024-08-30,79.43,80.25,78.6,79.0,76.5318,6205300
2024-09-03,79.79,80.44,79.4,79.7,77.2099,8733300
2024-09-04,79.67,80.0,78.72,79.13,76.6577,4580600
2024-09-05,78.95,79.32,77.74,78.77,76.309,4306400
2024-09-06,79.11,79.21,78.26,78.72,76.2605,9220900
2024-09-09,78.4,80.2,78.36,79.17,76.6965,5571500
2024-09-10,79.17,81.56,78.73,81.44,78.8955,6869000
2024-09-11,81.14,81.2,79.64,80.94,78.4112,6144800
2024-09-12,83.02,84.89,81.98,83.16,80.5618,11450900
2024-09-13,81.95,83.17,81.57,82.81,80.9725,6530300
2024-09-16,83.0,83.58,82.52,83.16,81.3147,7844100
2024-09-17,83.06,83.34,82.38,83.05,81.2072,7078500
2024-09-18,83.37,84.52,82.76,83.89,82.0285,9199500
2024-09-19,84.39,84.65,83.43,83.9,82.0383,8798300
2024-09-20,83.26,83.99,82.75,83.94,82.0774,24926000
2024-09-23,84.25,84.46,83.48,83.99,82.1263,6474400
2024-09-24,83.79,84.28,83.34,83.79,81.9307,7985100
2024-09-25,83.94,83.99,82.15,82.21,80.3858,8375500
2024-09-26,82.02,83.12,81.83,83.04,81.1974,5654500
2024-09-27,83.23,84.33,83.04,83.61,81.7547,5456700
2024-09-30,83.15,84.25,83.14,83.84,81.9796,5116100
2024-10-01,83.82,83.98,82.82,83.94,82.0774,6619000
2024-10-02,83.33,85.43,83.1,84.74,82.8597,6042300
2024-10-03,84.25,84.93,84.01,84.17,82.3023,4086100
2024-10-04,84.34,84.96,83.98,84.59,82.713,4054300
2024-10-07,85.05,85.66,84.34,84.43,82.5565,4692500
2024-10-08,84.52,85.39,84.32,85.21,83.3192,4593100
2024-10-09,85.18,86.85,85.06,86.14,84.2286,6162100
2024-10-10,85.83,85.94,84.59,84.67,82.7912,3814800
2024-10-11,84.86,84.98,84.17,84.95,83.065,3982300
2024-10-14,84.92,85.34,84.34,85.05,83.1628,3493100
2024-10-15,85.18,86.64,84.8,85.82,83.9157,5133500
2024-10-16,85.83,86.82,85.83,86.75,84.8251,3181200
2024-10-17,86.92,87.65,86.59,87.36,85.4215,4287700
2024-10-18,86.79,87.17,86.01,86.72,84.7957,4365100
2024-10-21,86.64,87.27,85.92,86.29,84.3753,4451200
2024-10-22,85.68,88.36,85.6,88.16,86.2038,6044400
2024-10-23,88.15,88.39,87.14,87.23,85.2944,4373500
2024-10-24,87.72,89.22,87.62,88.78,86.81,7183500
2024-10-25,89.45,89.74,88.45,89.0,87.0251,5734900
2024-10-28,89.24,89.42,88.52,88.76,86.7905,5961700
2024-10-29,88.38,88.52,86.81,88.08,86.1255,6655800
2024-10-30,87.9,88.37,87.48,88.29,86.3309,5846900
2024-10-31,87.94,89.28,87.74,88.82,86.8491,5894500
2024-11-01,88.31,89.57,88.19,89.51,87.5238,6485900
2024-11-04,89.49,90.71,89.37,89.84,87.8465,6124300
2024-11-05,89.64,90.39,89.01,90.22,88.2181,3960200
2024-11-06,91.0,91.98,90.5,91.69,89.6554,8819300
2024-11-07,94.0,98.32,93.51,97.9,95.7276,14389800
2024-11-08,96.05,97.32,94.91,96.57,94.4272,7456700
2024-11-11,96.4,98.9,96.3,97.03,94.8769,7094300
2024-11-12,96.35,96.84,94.23,94.35,92.2564,9322700
2024-11-13,94.13,94.21,91.63,92.63,90.5746,11060500
2024-11-14,92.31,92.66,91.3,92.11,90.0661,8202700
2024-11-15,91.71,91.99,88.21,88.4,86.4384,11454500
2024-11-18,88.39,89.04,87.63,88.46,86.4971,9099600
2024-11-19,87.63,88.6,86.08,87.75,85.8029,8179300
2024-11-20,88.11,89.08,87.77,88.63,86.6633,4781700
2024-11-21,89.07,89.94,88.07,89.76,87.7683,4057300
2024-11-22,89.81,90.49,89.27,90.19,88.1887,4545900
2024-11-25,90.75,91.37,89.5,90.49,88.4821,10754100
2024-11-26,90.34,91.68,89.63,91.35,89.323,4406500
2024-11-27,91.44,92.9,91.44,92.41,90.3595,5527200
2024-11-29,92.84,93.16,92.33,92.58,90.5257,3851000
2024-12-02,92.53,94.36,92.49,94.02,91.9337,5023100
2024-12-03,93.81,94.39,92.46,92.49,90.4377,5532000
2024-12-04,92.59,92.6,89.86,91.59,89.5577,9124300
2024-12-05,91.6,94.27,91.6,93.39,91.3177,12428600
2024-12-06,93.5,94.22,92.03,92.13,90.0857,4470700
2024-12-09,91.86,92.15,90.5,90.59,88.5798,7396100
2024-12-10,91.35,92.95,90.64,92.34,90.291,6748200
2024-12-11,92.4,94.65,91.94,92.38,90.3301,7525100
2024-12-12,92.46,93.22,91.44,92.38,90.3301,5782700
2024-12-13,91.66,92.11,89.15,91.86,90.5766,7515500
2024-12-16,91.96,93.26,91.9,92.05,90.764,7068100
2024-12-17,91.88,93.59,91.88,92.8,91.5035,6125300
2024-12-18,92.72,93.5,90.59,90.69,89.423,6616100
2024-12-19,90.4,91.48,90.27,91.09,89.8174,8875200
2024-12-20,90.92,93.29,90.71,92.57,91.2767,22530200
2024-12-23,92.62,93.52,91.79,93.4,92.0951,4809500
2024-12-24,93.0,94.05,92.1,93.95,92.6374,2109100
2024-12-26,93.17,94.55,92.98,94.41,93.091,2915400
2024-12-27,93.43,94.38,93.43,94.11,92.7952,3349300
2024-12-30,93.93,94.0,91.72,92.01,90.7245,3613200
2024-12-31,92.59,92.98,91.78,92.37,91.0795,3482500
2025-01-02,92.62,92.83,91.4,91.88,90.5964,3495200
2025-01-03,92.19,92.34,91.31,91.41,90.1329,4265200
2025-01-06,90.75,91.53,90.33,91.23,89.9554,6779400
2025-01-07,90.89,91.51,90.51,90.63,89.3638,5811900
2025-01-08,90.68,90.68,89.0,89.14,87.8946,8054200
2025-01-10,90.19,91.43,88.57,89.88,88.6243,7869700
2025-01-13,90.3,90.37,89.02,89.94,88.6835,6523300
2025-01-14,90.59,91.48,89.83,91.0,89.7287,7418300
2025-01-15,91.35,92.66,91.04,92.38,91.0894,8084400
2025-01-16,92.26,93.07,90.82,91.65,90.3696,8955300
2025-01-17,92.01,92.8,91.69,91.84,90.5569,6862200
2025-01-21,92.06,93.9,92.06,92.96,91.6613,10546000
2025-01-22,92.63,93.31,91.84,93.04,91.7402,7285700
2025-01-23,93.03,93.29,92.21,92.92,91.6218,4086100
2025-01-24,92.36,94.0,92.26,93.07,91.7697,5409200
2025-01-27,93.1,95.84,93.1,95.35,94.0179,7914200
2025-01-28,95.0,96.7,93.81,93.85,92.5388,7406100
2025-01-29,94.4,95.93,94.08,95.59,94.2545,5593500
2025-01-30,96.56,96.97,95.44,96.95,95.5955,5020500
2025-01-31,96.73,98.37,96.43,97.2,95.842,9419400
2025-02-03,97.03,99.45,96.74,98.38,97.0055,10515600
2025-02-04,98.38,98.47,97.05,97.99,96.621,6156200
2025-02-05,98.48,100.51,98.01,99.65,98.2578,7738300
2025-02-06,99.54,99.59,97.85,98.04,96.6703,4518000
2025-02-07,97.76,98.33,95.9,96.04,94.6982,7182200
2025-02-10,96.04,96.17,94.56,95.48,94.1461,9628200
2025-02-11,95.33,96.28,95.03,96.14,94.7968,6260000
2025-02-12,101.74,104.71,100.83,103.31,101.8667,16210300
2025-02-13,104.84,106.43,103.82,105.96,104.4796,8715000
2025-02-14,105.8,106.69,103.92,104.08,102.6259,6400400
2025-02-18,104.25,106.58,104.0,105.25,103.7796,9434600
2025-02-19,105.23,107.81,105.2,107.65,106.146,6384100
2025-02-20,107.78,110.11,107.43,110.03,108.4928,7684500
2025-02-21,110.73,111.03,109.77,109.95,108.4139,9732800
2025-02-24,109.57,111.99,109.45,111.03,109.4788,10495100
2025-02-25,111.1,112.11,110.1,111.53,109.9718,8072000
2025-02-26,110.71,111.07,108.4,110.46,108.9168,5911200
2025-02-27,110.33,112.57,110.05,111.99,110.4254,6301000
2025-02-28,112.15,114.77,111.81,114.31,112.713,12604000
2025-03-03,114.89,117.16,114.68,115.99,114.3695,10017300
2025-03-04,117.25,117.39,113.58,114.74,113.137,11982700
2025-03-05,114.74,117.21,114.5,115.44,113.8272,16088200
2025-03-06,115.46,116.31,114.61,116.04,114.4188,7712200
2025-03-07,115.65,118.42,114.79,117.41,115.7697,14406000
2025-03-10,117.0,119.96,116.78,117.21,115.5725,11194400
2025-03-11,116.65,116.98,113.92,114.43,112.8313,11478800
2025-03-12,113.15,114.87,112.82,113.99,112.3975,8065900
2025-03-13,113.79,115.47,112.7,113.35,111.7664,6939100
2025-03-14,112.89,113.36,110.9,111.44,110.6543,8647900
2025-03-17,110.53,112.56,109.46,112.26,111.4685,9259000
2025-03-18,112.19,112.2,109.84,110.23,109.4528,10250400
2025-03-19,109.69,109.72,105.8,107.51,106.752,11967600
2025-03-20,106.83,106.83,104.7,105.87,105.1236,11281700
2025-03-21,105.16,107.42,104.92,107.08,106.325,26497500
2025-03-24,107.01,107.39,106.1,106.74,105.9874,8563200
2025-03-25,106.74,107.95,106.3,107.89,107.1293,8444700
2025-03-26,107.99,110.46,107.9,109.27,108.4996,7391400
2025-03-27,110.0,111.81,109.74,111.16,110.3763,6382900
2025-03-28,111.15,112.38,109.65,111.79,111.0018,7844800
2025-03-31,109.67,112.46,109.6,112.05,111.26,8828600
2025-04-01,112.0,112.86,110.71,111.28,110.4954,6284400
2025-04-02,111.13,112.02,110.47,111.89,111.1011,7444300
2025-04-03,113.02,114.75,112.28,112.39,111.5976,10045200
2025-04-04,110.51,112.87,107.12,107.25,106.4938,12920000
2025-04-07,104.75,109.0,103.32,105.52,104.776,14202800
2025-04-08,105.4,107.47,101.8,103.19,102.4625,11293700
