timestamp,open,high,low,close,adj_close,volume
2024-07-15,73.0,73.01,71.24,71.31,69.8055,20775800
2024-07-16,71.51,72.96,71.51,72.81,71.2739,20980700
2024-07-17,72.53,73.34,72.5,73.07,71.5284,11161600
2024-07-18,72.97,73.93,72.35,72.38,70.8529,14440100
2024-07-19,72.3,72.82,71.85,72.7,71.1662,11913300
2024-07-22,73.12,75.34,73.07,74.86,73.2806,19385500
2024-07-23,74.63,75.04,73.24,73.4,71.8514,11041800
2024-07-24,73.25,73.39,71.08,71.09,69.5902,18563300
2024-07-25,71.53,72.43,70.91,71.41,69.9034,13855400
2024-07-26,72.0,72.78,71.87,72.56,71.0291,8892000
2024-07-29,72.5,73.87,72.2,73.55,71.9983,10471800
2024-07-30,73.69,74.49,73.46,74.32,72.752,8515700
2024-07-31,74.5,75.43,73.92,74.86,73.2806,14632900
2024-08-01,74.7,74.79,73.26,73.85,72.2919,9563500
2024-08-02,72.83,74.13,71.92,74.01,72.4486,11526600
2024-08-05,71.06,72.62,70.75,71.42,69.9132,13191500
2024-08-06,71.66,73.24,71.51,72.5,70.9704,13469700
2024-08-07,72.88,74.21,72.53,72.62,71.0879,9571200
2024-08-08,73.23,74.21,73.05,74.19,72.6248,8828000
2024-08-09,74.12,74.58,73.37,74.34,72.7716,7186600
2024-08-12,74.71,75.0,74.05,74.64,73.0653,7067300
2024-08-13,75.25,79.05,75.07,78.5,76.8438,22114800
2024-08-14,78.0,79.09,77.42,78.52,76.8634,13613000
2024-08-15,82.1,83.06,80.67,82.5,80.7594,23583600
2024-08-16,82.88,83.94,82.44,83.23,81.474,13794200
2024-08-19,83.23,83.99,82.92,83.28,81.523,9627300
2024-08-20,83.49,83.9,82.77,83.56,81.7971,7863100
2024-08-21,83.67,84.24,83.22,84.0,82.2278,6915900
2024-08-22,84.45,84.68,83.21,83.41,81.6502,8485500
2024-08-23,83.34,84.24,83.22,84.05,82.2767,9219700
2024-08-26,83.47,84.51,83.38,84.28,82.5019,7853300
2024-08-27,84.07,85.39,83.61,85.29,83.4906,14954000
