timestamp,open,high,low,close,adj_close,volume
2024-07-15,166.47,166.62,164.46,164.58,160.6249,5752500
2024-07-16,164.91,167.07,164.61,166.95,162.9379,6378300
2024-07-17,167.75,170.17,167.33,169.44,165.3681,7982300
2024-07-18,168.8,170.92,168.28,168.44,164.3921,5926300
2024-07-19,167.97,169.04,167.13,167.96,164.909,6597100
2024-07-22,167.93,168.7,167.7,168.25,165.1938,6383000
2024-07-23,168.11,168.42,166.32,166.62,163.5934,4863400
2024-07-24,166.32,168.28,165.58,168.0,164.9483,5907000
2024-07-25,168.32,170.09,166.87,166.9,163.8683,7338300
2024-07-26,167.25,169.32,167.03,169.11,166.0381,5581600
2024-07-29,168.85,170.54,168.11,169.93,166.8432,6797800
2024-07-30,161.79,162.38,158.04,161.7,158.7627,15746300
2024-07-31,160.81,162.86,159.21,160.76,157.8398,9660900
2024-08-01,160.88,166.31,160.68,165.69,162.6803,12532700
2024-08-02,167.44,170.35,165.15,170.08,166.9905,11899000
2024-08-05,170.88,170.88,166.67,168.06,165.0072,10338800
2024-08-06,167.9,170.33,167.85,168.09,165.0367,7454900
2024-08-07,168.57,171.72,168.01,170.02,166.9316,8385500
2024-08-08,169.42,171.56,169.0,170.87,167.7662,6386900
2024-08-09,170.12,171.26,169.65,170.54,167.4422,5377300
2024-08-12,169.4,169.65,166.2,166.81,163.7799,7208100
2024-08-13,167.34,167.8,166.46,167.29,164.2512,3770000
2024-08-14,166.5,169.47,165.82,168.8,165.7338,5476600
2024-08-15,169.46,169.68,166.75,167.92,164.8698,9491400
2024-08-16,167.82,168.35,166.8,167.89,164.8403,5640800
2024-08-19,168.18,169.24,168.17,168.42,165.3607,3885300
2024-08-20,168.77,170.56,168.11,170.41,167.3145,4513600
2024-08-21,170.19,171.89,169.6,170.16,167.0691,4082000
2024-08-22,170.88,171.24,169.14,170.15,167.0593,4097300
2024-08-23,170.05,170.11,168.25,169.17,166.0971,4771300
2024-08-26,168.7,170.97,168.7,170.35,167.2556,6472400
2024-08-27,170.83,171.1,169.08,169.25,166.1756,4456400
