timestamp,open,high,low,close,adj_close,volume
2024-07-15,74.89,74.895,72.52,72.75,70.9808,9064379
2024-07-16,72.21,75.51,71.55,75.51,73.6736,14968740
2024-07-17,75.22,76.13,74.55,75.1,73.2736,11567830
2024-07-18,74.46,75.11,73.81,74.19,72.3857,10700990
2024-07-19,74.66,79.38,74.19,79.27,77.3422,32965922
2024-07-22,78.33,78.47,76.012,76.55,74.6883,18851539
2024-07-23,77.14,77.14,76.025,76.26,74.4054,9592106
2024-07-24,76.37,76.49,74.02,74.68,72.8638,10478210
2024-07-25,75.06,75.765,73.26,73.32,71.5369,18973609
2024-07-26,73.84,75.02,73.705,74.05,72.2491,12387110
2024-07-29,74.39,75.59,73.72,75.2,73.3712,10864720
2024-07-30,75.25,76.05,74.85,75.94,74.0932,16163630
2024-07-31,79.55,81.24,77.8,77.95,76.0543,18901090
2024-08-01,77.89,78.14,73.83,75.11,73.2834,17307170
2024-08-02,75.11,76.67,74.9211,75.88,74.0346,15185690
2024-08-05,73.85,75.0,72.725,73.86,72.0638,12372870
2024-08-06,73.92,75.99,73.84,75.37,73.537,10525490
2024-08-07,75.3,76.83,75.16,75.29,73.459,7297044
2024-08-08,75.07,76.15,74.8,75.75,73.9078,8988259
2024-08-09,75.65,75.86,74.75,75.09,73.2639,4683590
2024-08-12,76.53,78.43,76.2913,77.03,75.1567,13123040
2024-08-13,91.02,96.01,90.29,95.9,93.5678,157215500
2024-08-14,95.39,95.8621,91.43,93.9,91.6164,45737848
2024-08-15,94.115,94.96,92.98,94.88,92.5726,21109811
2024-08-16,93.355,95.65,93.3,94.81,93.0634,16336330
2024-08-19,94.35,94.89,92.13,92.3,90.5996,14479020
2024-08-20,92.29,93.8198,92.13,93.01,91.2965,11536230
2024-08-21,92.49,93.38,92.22,92.78,91.0708,6769155
2024-08-22,92.67,92.8292,91.77,92.43,90.7272,10010280
2024-08-23,92.85,94.42,92.825,94.02,92.2879,11483710
2024-08-26,94.2,95.93,94.18,95.63,93.8683,13882770
2024-08-27,95.4,98.72,95.25,98.6,96.7835,17456301
2024-08-28,98.22,98.71,94.38,95.3,93.5443,14866280
2024-08-29,95.47,95.83,94.275,94.86,93.1124,8781338
2024-08-30,94.99,95.93,94.435,94.57,92.8278,7117159
2024-09-03,94.13,94.81,93.04,93.18,91.4634,11231700
2024-09-04,93.37,93.98,91.97,92.33,90.6291,7193465
2024-09-05,92.17,93.02,91.2,91.56,89.8732,8370064
2024-09-06,91.5,92.16,90.18,91.15,89.4708,9257004
2024-09-09,91.22,92.355,90.41,92.21,90.5113,10089690
2024-09-10,92.12,93.52,91.14,93.34,91.6204,7327008
2024-09-11,94.08,98.35,93.66,98.2,96.3909,19302891
2024-09-12,98.46,99.31,97.34,99.28,97.451,14658700
2024-09-13,99.13,99.51,98.5,98.57,96.7541,9899865
2024-09-16,98.52,98.6,95.98,96.31,94.5357,9263409
2024-09-17,96.49,96.54,95.2,96.44,94.6633,6281724
2024-09-18,95.55,97.6,95.33,96.12,94.3492,8793825
2024-09-19,97.97,98.7,96.325,96.9,95.1149,8752645
2024-09-20,96.85,97.06,95.32,96.05,94.2805,19541039
2024-09-23,96.05,96.05,94.3505,95.48,93.721,8382840
2024-09-24,95.47,95.82,94.185,94.45,92.71,8606798
2024-09-25,94.26,95.96,94.2168,95.62,93.8584,8632888
2024-09-26,98.5,99.15,97.0,97.47,95.6744,9876771
2024-09-27,97.65,98.1468,97.19,97.36,95.5664,6320017
2024-09-30,97.39,97.69,96.41,97.49,95.694,6439104
2024-10-01,97.49,98.143,96.35,97.43,95.6351,7171570
2024-10-02,96.83,97.0,95.87,96.5,94.7222,6345996
2024-10-03,95.64,96.39,95.31,95.56,93.7995,5556383
2024-10-04,96.17,96.73,95.15,96.58,94.8008,6819465
2024-10-07,96.19,96.52,95.36,96.09,94.3198,7478912
2024-10-08,96.05,96.88,95.28,96.21,94.4376,6595191
2024-10-09,96.48,96.48,95.46,95.88,94.1137,3344801
2024-10-10,95.42,95.48,93.759,93.88,92.1505,5459453
2024-10-11,94.14,95.955,94.01,95.55,93.7897,4834808
2024-10-14,95.41,95.526,94.34,94.76,93.0143,4124736
2024-10-15,94.67,95.9685,94.57,95.04,93.2891,6264122
2024-10-16,95.45,95.84,94.0901,95.46,93.7014,7537064
2024-10-17,95.33,96.19,94.78,95.27,93.5149,5577267
2024-10-18,95.68,96.85,95.04,96.84,95.056,6178250
2024-10-21,96.95,97.2,95.89,96.45,94.6731,3994283
2024-10-22,96.35,97.19,95.94,96.82,95.0363,6670917
2024-10-23,93.87,97.72,93.69,97.65,95.851,18858760
2024-10-24,97.69,99.42,96.8541,97.15,95.3603,9828604
2024-10-25,97.22,97.955,96.43,97.31,95.5173,9665550
2024-10-28,97.65,99.14,97.55,98.02,96.2142,6790945
2024-10-29,97.74,98.05,96.3531,97.39,95.5958,7664209
2024-10-30,97.37,98.145,96.8,97.32,95.5271,9187206
2024-10-31,97.32,99.0,95.35,97.7,95.9001,12011540
2024-11-01,97.6,99.8,97.37,98.87,97.0486,8860191
2024-11-04,98.59,98.81,96.695,97.03,95.2425,7049097
2024-11-05,96.86,97.4689,96.15,97.09,95.3014,6348324
2024-11-06,96.97,98.23,94.7802,96.08,94.31,9708753
2024-11-07,96.06,96.69,95.76,96.12,94.3492,6195191
2024-11-08,96.11,97.64,96.03,97.55,95.7529,6118742
2024-11-11,98.0,101.41,97.945,100.31,98.462,10313340
2024-11-12,100.13,100.54,98.4172,98.8,96.9799,8438424
2024-11-13,97.35,99.94,96.23,99.8,97.9614,8816282
2024-11-14,99.43,100.02,99.14,99.23,97.4019,6441497
2024-11-15,99.1,100.22,97.99,98.42,97.2044,8119864
2024-11-18,98.44,100.61,97.93,100.4,99.1599,7044677
2024-11-19,99.79,100.3,98.2,98.35,97.1353,9176224
2024-11-20,98.0,98.745,97.11,98.26,97.0464,7527665
2024-11-21,99.5,100.33,98.49,100.06,98.8241,6760622
2024-11-22,100.0,102.56,99.77,102.5,101.234,6563290
2024-11-25,102.93,103.32,101.78,101.84,100.5822,8839592
2024-11-26,101.99,102.09,100.47,100.68,99.4365,6558260
2024-11-27,100.75,102.03,100.715,101.51,100.2562,4857843
2024-11-29,101.37,102.5,101.27,102.46,101.1945,3419300
2024-12-02,102.0,102.21,99.87,101.51,100.2562,6103624
2024-12-03,101.09,102.12,99.89,101.57,100.3155,7101505
2024-12-04,100.89,101.99,100.37,100.7,99.4562,6151143
2024-12-05,101.0,101.3,99.19,99.23,98.0044,7194768
2024-12-06,98.93,100.62,98.435,100.11,98.8735,6297011
2024-12-09,100.07,100.57,98.515,99.31,98.0834,7271601
2024-12-10,99.14,99.25,97.94,98.16,96.9476,8192465
2024-12-11,98.5,99.3858,97.98,98.42,97.2044,8007330
2024-12-12,98.22,98.97,97.415,97.82,96.6118,6375869
2024-12-13,97.335,98.08,96.94,97.42,96.2168,5910905
2024-12-16,96.945,97.0,93.1,93.12,91.9699,12395850
2024-12-17,93.01,93.94,92.05,92.09,90.9526,8536091
2024-12-18,91.77,92.25,89.64,89.9,88.7896,10886560
2024-12-19,90.24,91.58,88.67,88.76,87.6637,14628410
2024-12-20,87.86,89.155,87.07,87.97,86.8835,26477490
2024-12-23,87.5,87.88,86.3,87.44,86.36,11203730
2024-12-24,87.4,89.92,87.17,89.91,88.7995,5422008
2024-12-26,89.37,92.05,89.37,91.86,90.7254,7542683
2024-12-27,90.9,93.1987,90.88,92.25,91.1106,8200370
2024-12-30,91.29,91.32,89.84,90.58,89.4612,8404474
2024-12-31,90.73,91.77,90.585,91.25,90.123,4220716
2025-01-02,91.55,92.66,91.41,92.17,91.0316,8642734
2025-01-03,92.4,93.12,91.8,92.58,91.4365,4966947
2025-01-06,92.04,94.5,91.94,93.13,91.9797,8768050
2025-01-07,92.78,93.65,91.86,92.84,91.6933,6638267
2025-01-08,92.97,93.005,92.0081,92.6,91.4563,6243744
2025-01-10,92.19,92.7922,91.93,92.25,91.1106,6550328
2025-01-13,92.265,93.59,91.375,93.51,92.355,6912144
2025-01-14,94.01,94.89,92.52,93.07,91.9205,6406229
2025-01-15,94.1,94.474,92.945,93.08,91.9304,4554743
2025-01-16,92.87,94.7699,92.87,94.43,93.2637,6548184
2025-01-17,95.58,95.86,95.1,95.13,93.955,8362145
2025-01-21,95.41,98.58,95.41,97.98,96.7698,8803122
2025-01-22,97.98,98.535,97.46,97.73,96.5229,7678895
