timestamp,open,high,low,close,adj_close,volume
2024-07-15,152.85,153.45,150.91,151.3,146.1173,3645900
2024-07-16,151.45,155.01,151.39,155.01,149.7002,3391800
2024-07-17,154.04,156.74,154.04,155.93,150.5887,3353700
2024-07-18,154.82,155.25,151.84,152.09,146.8802,2927400
2024-07-19,151.46,151.46,149.36,149.73,144.6011,3187000
2024-07-22,149.37,151.74,148.72,151.02,145.8469,3692800
2024-07-23,150.2,150.96,149.64,150.27,145.1226,1622400
2024-07-24,150.29,150.92,145.3,146.45,141.4334,3029500
2024-07-25,146.58,149.42,145.99,146.29,141.2789,3019700
2024-07-26,147.25,149.99,147.25,149.0,143.8961,2427000
2024-07-29,147.38,147.9,145.14,146.82,141.7908,2487000
2024-07-30,147.37,148.29,146.76,147.95,142.8821,2379200
2024-07-31,148.71,152.4,147.93,150.41,145.2578,5743700
2024-08-01,151.21,151.35,146.08,147.02,141.9839,3782400
2024-08-02,145.32,145.42,138.04,139.17,134.4028,6476500
2024-08-05,136.0,136.35,132.42,133.87,129.2844,6887700
2024-08-06,134.51,135.91,133.25,133.85,129.265,5005500
2024-08-07,136.18,137.75,133.34,133.47,128.8981,3209700
2024-08-08,134.79,135.99,133.07,133.97,129.3809,3894000
2024-08-09,133.61,135.6,132.75,135.5,130.8585,3778100
2024-08-12,134.59,136.54,134.12,135.02,130.395,3695600
2024-08-13,135.68,136.91,133.67,136.66,131.9788,3319800
2024-08-14,136.7,136.91,135.51,135.76,131.1096,4838000
2024-08-15,143.29,143.88,140.56,141.66,136.8075,4640600
2024-08-16,141.12,144.24,140.89,144.04,139.106,3473900
2024-08-19,144.5,148.64,144.42,144.63,139.6758,4427000
2024-08-20,144.5,145.7,142.88,144.33,139.3861,6815100
2024-08-21,167.33,167.4,158.97,159.25,154.9978,25572100
2024-08-22,159.9,160.12,156.42,156.82,152.6327,7452400
2024-08-23,157.58,159.62,156.74,158.5,154.2678,3188300
2024-08-26,159.31,161.84,157.97,158.9,154.6571,3655200
2024-08-27,158.9,159.77,157.76,158.68,154.443,3252300
2024-08-28,157.75,158.32,155.69,156.86,152.6716,2666500
2024-08-29,156.26,156.26,152.47,153.42,149.3234,3879500
2024-08-30,153.69,154.15,152.19,153.62,149.5181,3933200
2024-09-03,152.99,154.96,151.35,151.8,147.7467,4071000
2024-09-04,152.65,153.74,148.87,152.48,148.4085,3841000
2024-09-05,153.06,153.55,150.67,151.9,147.844,3358900
2024-09-06,151.61,153.33,150.72,151.28,147.2406,4045100
2024-09-09,151.37,152.92,149.95,150.59,146.569,3735200
2024-09-10,150.59,150.78,147.35,148.01,144.0579,4103200
2024-09-11,147.25,147.97,144.67,147.29,143.3571,4089500
2024-09-12,147.35,148.98,146.61,148.44,144.4764,3454600
2024-09-13,149.72,152.62,149.48,151.36,147.3184,3592300
2024-09-16,151.95,153.74,150.71,152.84,148.7589,3429200
2024-09-17,152.94,153.69,151.07,151.96,147.9024,3162300
2024-09-18,152.49,156.04,152.4,153.6,149.4986,3269500
2024-09-19,156.58,157.39,155.0,156.49,152.3115,5098800
2024-09-20,156.9,157.39,153.94,154.75,150.6179,7389800
2024-09-23,154.77,155.74,152.91,155.29,151.1435,2927700
2024-09-24,155.9,157.83,155.5,156.18,152.0097,3114000
2024-09-25,156.29,156.92,154.16,155.07,150.9294,2319900
2024-09-26,156.53,157.74,155.12,155.98,151.8151,2757900
2024-09-27,156.5,157.51,154.78,155.18,151.0364,3067200
2024-09-30,155.18,156.35,154.22,155.86,151.6983,2934400
2024-10-01,155.25,155.4,151.37,152.2,148.136,3994400
2024-10-02,151.66,152.45,149.96,150.4,146.3841,2795000
2024-10-03,149.89,150.0,147.54,149.6,145.6054,4790100
2024-10-04,151.92,153.87,151.32,152.88,148.7979,3557100
2024-10-07,152.63,152.63,147.91,149.0,145.0215,3301400
